endpoint_id,path,http_method,module,resource_type,contains_identifier,identifier_name,critical_reason,allowed_roles,test_priority
EP001,/users/{user_id}/,GET,users,user_profile,yes,user_id,contains object identifier; PII/identity,"Admin_HC,Employee",high
EP002,/payroll/{user_id}/,GET,payroll,user_profile,yes,user_id,contains object identifier; financial data; PII/identity,"Admin_HC,Employee",high
EP003,/admin/audit-logs/{user_id}/,GET,admin,user_profile,yes,user_id,contains object identifier; PII/identity; admin/audit scope,Admin_HC,high
EP004,/auth/me/,GET,auth,authentication,no,,session disclosure,"Admin_HC,Admin,Employee",medium
EP005,/users/,GET,users,user_profile,no,,PII/identity,Admin_HC,medium
EP006,/documents/,GET,documents,document,no,,tested endpoint,"Admin_HC,Employee",medium
EP007,/documents/{doc_id}/,GET,documents,document,yes,doc_id,contains object identifier,"Admin_HC,Employee",high
EP008,/documents/{doc_id}/download/,GET,documents,document_download,yes,doc_id,contains object identifier,"Admin_HC,Employee",high
EP009,/payroll/,GET,payroll,payroll_record,no,,financial data,Admin_HC,medium
EP010,/leaves/,GET,leaves,leave_request,no,,tested endpoint,"Admin_HC,Employee",medium
EP011,/leaves/{leave_id}/,GET,leaves,leave_request,yes,leave_id,contains object identifier,"Admin_HC,Employee",high
EP012,/admin/dashboard/,GET,admin,dashboard,no,,admin/audit scope,Admin_HC,high
EP013,/admin/audit-logs/,GET,admin,audit_log,no,,admin/audit scope,Admin_HC,high
EP014,/auth/login/,POST,auth,authentication,no,,tested endpoint,"Admin,Admin_HC,Employee",medium
EP015,/auth/logout/,POST,auth,authentication,no,,tested endpoint,"Admin,Admin_HC,Employee",medium
EP016,/admin/users/,POST,admin,user_profile,no,,PII/identity; admin/audit scope,,high
EP017,/documents/,POST,documents,document,no,,tested endpoint,"Admin_HC,Employee",medium
EP018,/payroll/,POST,payroll,payroll_record,no,,financial data,Admin_HC,medium
EP019,/leaves/,POST,leaves,leave_request,no,,tested endpoint,Employee,medium
EP020,/users/{user_id}/,PUT,users,user_profile,yes,user_id,contains object identifier; PII/identity,"Admin_HC,Employee",high
EP021,/users/{user_id}/role/,PUT,users,user_role,yes,user_id,contains object identifier; PII/identity,Admin_HC,high
EP022,/payroll/{user_id}/,PUT,payroll,user_profile,yes,user_id,contains object identifier; financial data; PII/identity,Admin_HC,high
EP023,/documents/{doc_id}/,PUT,documents,document,yes,doc_id,contains object identifier,"Admin_HC,Employee",high
EP024,/leaves/{leave_id}/,PUT,leaves,leave_request,yes,leave_id,contains object identifier,Employee,high
EP025,/leaves/{leave_id}/approve/,PUT,leaves,leave_workflow,yes,leave_id,contains object identifier,Admin_HC,high
EP026,/leaves/{leave_id}/cancel/,PUT,leaves,leave_workflow,yes,leave_id,contains object identifier,"Admin_HC,Employee",high
EP027,/users/{user_id}/,DELETE,users,user_profile,yes,user_id,contains object identifier; PII/identity,Admin_HC,high
EP028,/documents/{doc_id}/,DELETE,documents,document,yes,doc_id,contains object identifier,"Admin_HC,Employee",high
