permission_id,permission_code,permission_group,permission_desc
1,auth_login,Authentication,Permission to login to system
2,auth_logout,Authentication,Permission to logout from system
3,auth_me,Authentication,Permission to view own profile
4,users_list,User Management,Permission to list all users
5,users_detail,User Management,Permission to view user detail
6,users_update,User Management,Permission to update user data
7,users_delete,User Management,Permission to delete user
8,users_role_update,User Management,Permission to change user role
9,documents_create,Document Management,Permission to create document
10,documents_list,Document Management,Permission to list documents
11,documents_detail,Document Management,Permission to view document detail
12,documents_update,Document Management,Permission to update document
13,documents_delete,Document Management,Permission to delete document
14,documents_download,Document Management,Permission to download document
15,payroll_list,Payroll Management,Permission to list all payroll records
16,payroll_create,Payroll Management,Permission to create payroll record
17,payroll_detail,Payroll Management,Permission to view user payroll data
18,payroll_update,Payroll Management,Permission to update payroll data
19,leaves_create,Leave Management,Permission to create leave request
20,leaves_list,Leave Management,Permission to list leave requests
21,leaves_detail,Leave Management,Permission to view leave detail
22,leaves_update,Leave Management,Permission to update leave request
23,leaves_approve,Leave Management,Permission to approve or reject leave request
24,leaves_cancel,Leave Management,Permission to cancel leave request
25,admin_dashboard,Admin Functions,Permission to view dashboard statistics
26,admin_audit_logs,Admin Functions,Permission to view all audit logs
27,admin_audit_logs_user,Admin Functions,Permission to view user audit logs
28,admin_create_user,Admin Functions,Permission to create new user
